Symbol: ^ADAUSD,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 0:00,1.180887,1.197896,1.180766,1.191879,0.011025,650,
4/04/2022 1:00,1.191879,1.218414,1.19116,1.213839,0.02196,805,
4/04/2022 2:00,1.213839,1.230032,1.212433,1.216993,0.003154,741,
4/04/2022 3:00,1.216878,1.22484,1.213085,1.217804,0.000811,736,
4/04/2022 4:00,1.217804,1.219137,1.202952,1.203139,-0.014665,740,
4/04/2022 5:00,1.203139,1.210191,1.19287,1.199422,-0.003717,778,
4/04/2022 6:00,1.199422,1.217613,1.196132,1.217475,0.018053,764,
4/04/2022 7:00,1.217475,1.225681,1.204195,1.207168,-0.010307,735,
4/04/2022 8:00,1.207168,1.219257,1.196439,1.214609,0.007441,705,
4/04/2022 9:00,1.214609,1.242954,1.211692,1.227998,0.013389,804,
4/04/2022 10:00,1.227214,1.232652,1.200163,1.206733,-0.021265,837,
4/04/2022 11:00,1.206727,1.218196,1.201258,1.201398,-0.005335,773,
4/04/2022 12:00,1.201232,1.203588,1.169085,1.175197,-0.026201,741,
4/04/2022 13:00,1.175823,1.177678,1.163419,1.177029,0.001832,701,
4/04/2022 14:00,1.177029,1.190637,1.173554,1.187743,0.010714,681,
4/04/2022 15:00,1.187743,1.198445,1.183605,1.198445,0.010702,672,
4/04/2022 16:00,1.198445,1.204573,1.194662,1.203389,0.004944,644,
4/04/2022 17:00,1.203389,1.213219,1.194069,1.208592,0.005203,708,
4/04/2022 18:00,1.208592,1.216655,1.207899,1.21307,0.004478,747,
4/04/2022 19:00,1.21307,1.216959,1.209144,1.212285,-0.000785,733,
4/04/2022 20:00,1.212676,1.216558,1.206549,1.214933,0.002648,680,
4/04/2022 21:00,1.214933,1.217433,1.209767,1.21016,-0.004773,644,
4/04/2022 22:00,1.210605,1.214647,1.210184,1.212001,0.001841,621,
4/04/2022 23:00,1.212001,1.213599,1.207714,1.208575,-0.003426,618,
5/04/2022 0:00,1.208575,1.208575,1.202471,1.20261,-0.005965,564,
5/04/2022 1:00,1.202451,1.203064,1.197572,1.198933,-0.003677,552,
5/04/2022 2:00,1.198933,1.207139,1.198933,1.205117,0.006184,565,
5/04/2022 3:00,1.205117,1.206536,1.198325,1.202447,-0.00267,569,
5/04/2022 4:00,1.202447,1.204295,1.198333,1.199433,-0.003014,538,
5/04/2022 5:00,1.199433,1.203732,1.1963,1.203542,0.004109,605,
5/04/2022 6:00,1.203542,1.209439,1.202203,1.209428,0.005886,596,
5/04/2022 7:00,1.209428,1.21719,1.205681,1.205723,-0.003705,682,
5/04/2022 8:00,1.205698,1.207825,1.196082,1.196484,-0.009239,738,
5/04/2022 9:00,1.196901,1.197089,1.182443,1.18591,-0.010574,818,
5/04/2022 10:00,1.18591,1.196225,1.183768,1.188096,0.002186,796,
5/04/2022 11:00,1.188096,1.193513,1.182344,1.186424,-0.001672,794,
5/04/2022 12:00,1.186408,1.204731,1.186408,1.197027,0.010603,737,
5/04/2022 13:00,1.197031,1.200146,1.190112,1.190112,-0.006915,698,
5/04/2022 14:00,1.190092,1.197715,1.183742,1.19567,0.005558,732,
5/04/2022 15:00,1.195688,1.19655,1.183644,1.18782,-0.00785,730,
5/04/2022 16:00,1.18782,1.19111,1.184159,1.189734,0.001914,663,
5/04/2022 17:00,1.189734,1.191059,1.182396,1.183702,-0.006032,721,
5/04/2022 18:00,1.183702,1.184922,1.165335,1.172368,-0.011334,763,
5/04/2022 19:00,1.172368,1.173092,1.127888,1.149852,-0.022516,792,
5/04/2022 20:00,1.149852,1.155674,1.147192,1.148666,-0.001186,750,
5/04/2022 21:00,1.148666,1.148838,1.137938,1.143929,-0.004737,738,
5/04/2022 22:00,1.143929,1.145395,1.138209,1.139145,-0.004784,690,
5/04/2022 23:00,1.139145,1.14752,1.136364,1.146986,0.007841,629,
6/04/2022 0:00,1.146987,1.158002,1.146847,1.157981,0.010995,606,
6/04/2022 1:00,1.157981,1.157981,1.150145,1.153402,-0.004579,539,
6/04/2022 2:00,1.153402,1.158043,1.14065,1.140671,-0.012731,496,
6/04/2022 3:00,1.140673,1.145826,1.137659,1.145615,0.004944,565,
6/04/2022 4:00,1.145615,1.145793,1.135853,1.14411,-0.001505,524,
6/04/2022 5:00,1.14411,1.144151,1.125557,1.125557,-0.018553,754,
6/04/2022 6:00,1.125557,1.126045,1.108224,1.112625,-0.012932,827,
6/04/2022 7:00,1.112625,1.120256,1.108236,1.109124,-0.003501,811,
6/04/2022 8:00,1.109124,1.118374,1.103192,1.103766,-0.005358,783,
6/04/2022 9:00,1.103766,1.114951,1.102071,1.107924,0.004158,811,
6/04/2022 10:00,1.107721,1.1084,1.088394,1.099334,-0.00859,784,
6/04/2022 11:00,1.099334,1.100809,1.076407,1.082252,-0.017082,756,
6/04/2022 12:00,1.081739,1.093983,1.063482,1.090272,0.00802,727,
6/04/2022 13:00,1.090272,1.101622,1.078528,1.094087,0.003815,757,
6/04/2022 14:00,1.094087,1.097291,1.088104,1.094777,0.00069,726,
6/04/2022 15:00,1.094777,1.098234,1.092236,1.097901,0.003124,666,
6/04/2022 16:00,1.097901,1.100901,1.092694,1.092713,-0.005188,628,
6/04/2022 17:00,1.092483,1.094521,1.071167,1.071167,-0.021546,682,
6/04/2022 18:00,1.071164,1.074903,1.051543,1.055284,-0.015883,767,
6/04/2022 19:00,1.055284,1.069338,1.045432,1.046325,-0.008959,778,
6/04/2022 20:00,1.046325,1.05975,1.045141,1.058107,0.011782,735,
6/04/2022 21:00,1.058107,1.060611,1.050696,1.059512,0.001405,692,
6/04/2022 22:00,1.060423,1.062776,1.053376,1.060534,0.001022,722,
6/04/2022 23:00,1.060534,1.067864,1.058008,1.065989,0.005455,695,
7/04/2022 0:00,1.065989,1.074298,1.063121,1.072556,0.006567,723,
7/04/2022 1:00,1.072556,1.077426,1.06926,1.072681,0.000125,637,
7/04/2022 2:00,1.072681,1.090439,1.072395,1.087228,0.014547,647,
7/04/2022 3:00,1.087228,1.09187,1.083467,1.085654,-0.001574,682,
7/04/2022 4:00,1.085654,1.085654,1.070365,1.081227,-0.004427,752,
7/04/2022 5:00,1.081227,1.085375,1.076953,1.083067,0.00184,718,
7/04/2022 6:00,1.083067,1.094219,1.079737,1.091066,0.007999,816,
7/04/2022 7:00,1.091066,1.095262,1.08381,1.084144,-0.006922,852,
7/04/2022 8:00,1.084144,1.088628,1.07641,1.087375,0.003231,846,
7/04/2022 9:00,1.087375,1.088836,1.070276,1.0713,-0.016075,846,
7/04/2022 10:00,1.071573,1.074109,1.060531,1.071616,0.000316,844,
7/04/2022 11:00,1.071616,1.085923,1.07101,1.0856,0.013984,846,
7/04/2022 12:00,1.087013,1.090699,1.082058,1.085959,0.000359,830,
7/04/2022 13:00,1.085959,1.090834,1.083154,1.089659,0.0037,821,
7/04/2022 14:00,1.089659,1.095202,1.083472,1.083472,-0.006187,751,
7/04/2022 15:00,1.083468,1.08766,1.082528,1.086679,0.003207,669,
7/04/2022 16:00,1.087209,1.087366,1.075337,1.086196,-0.000483,716,
7/04/2022 17:00,1.086196,1.092616,1.084559,1.092616,0.00642,708,
7/04/2022 18:00,1.092612,1.099946,1.089849,1.089849,-0.002767,741,
7/04/2022 19:00,1.089849,1.097735,1.083658,1.084991,-0.004858,793,
7/04/2022 20:00,1.084991,1.091828,1.082385,1.08941,0.004419,797,
7/04/2022 21:00,1.08941,1.094271,1.089393,1.092095,0.002685,685,
7/04/2022 22:00,1.092095,1.094941,1.090734,1.092003,-9.20E-05,682,
7/04/2022 23:00,1.092003,1.093624,1.088966,1.089795,-0.002208,670,
8/04/2022 0:00,1.089795,1.096391,1.08882,1.095545,0.00575,615,
8/04/2022 1:00,1.095545,1.095545,1.088204,1.090158,-0.005387,582,
8/04/2022 2:00,1.090158,1.091973,1.081957,1.087057,-0.003101,614,
8/04/2022 3:00,1.087057,1.097039,1.087057,1.09234,0.005283,680,
8/04/2022 4:00,1.09234,1.096215,1.088074,1.089985,-0.002355,668,
8/04/2022 5:00,1.089985,1.090696,1.086276,1.088436,-0.001549,693,
8/04/2022 6:00,1.088436,1.088486,1.068914,1.069323,-0.019113,737,
8/04/2022 7:00,1.069323,1.076576,1.062899,1.062899,-0.006424,749,
8/04/2022 8:00,1.062899,1.066877,1.054248,1.058853,-0.004046,791,
8/04/2022 9:00,1.058853,1.081331,1.058853,1.079595,0.020742,787,
8/04/2022 10:00,1.079292,1.084985,1.074338,1.075155,-0.00444,755,
8/04/2022 11:00,1.075155,1.075983,1.06739,1.067397,-0.007758,671,
8/04/2022 12:00,1.067907,1.06806,1.058268,1.061475,-0.005922,691,
8/04/2022 13:00,1.061475,1.061726,1.05051,1.055938,-0.005537,679,
8/04/2022 14:00,1.056001,1.059893,1.048746,1.048949,-0.006989,654,
8/04/2022 15:00,1.048949,1.050534,1.045205,1.048422,-0.000527,650,
8/04/2022 16:00,1.048422,1.050789,1.040983,1.043371,-0.005051,622,
8/04/2022 17:00,1.043648,1.044722,1.029652,1.030035,-0.013336,702,
8/04/2022 18:00,1.030035,1.033495,1.020483,1.025996,-0.004039,738,
8/04/2022 19:00,1.025996,1.03644,1.024359,1.036092,0.010096,707,
8/04/2022 20:00,1.036091,1.040596,1.032145,1.034654,-0.001438,680,
8/04/2022 21:00,1.034654,1.03567,1.024526,1.024526,-0.010128,708,
8/04/2022 22:00,1.024526,1.030629,1.024012,1.029568,0.005042,721,
8/04/2022 23:00,1.029568,1.032656,1.028145,1.028147,-0.001421,676,
Downloaded from Barchart.com as of 04-09-2022 07:56pm CDT,,,,,,,
